,label
2721,not clickbait
4587,clickbait
11570,not clickbait
4103,clickbait
1263,not clickbait
6556,not clickbait
9709,clickbait
12292,clickbait
3947,clickbait
11620,clickbait
12273,clickbait
8208,clickbait
7800,not clickbait
14883,clickbait
2296,not clickbait
8532,not clickbait
5063,not clickbait
13046,not clickbait
10681,not clickbait
6544,not clickbait
1544,clickbait
4656,not clickbait
16,clickbait
1974,clickbait
13598,clickbait
2612,not clickbait
4754,clickbait
15887,not clickbait
1945,clickbait
15198,clickbait
9768,clickbait
11035,clickbait
3629,not clickbait
4704,clickbait
14931,not clickbait
8002,not clickbait
5189,clickbait
4030,clickbait
11676,not clickbait
7965,not clickbait
8089,clickbait
14155,clickbait
2818,clickbait
12700,not clickbait
11575,not clickbait
802,clickbait
3247,not clickbait
15787,not clickbait
7696,not clickbait
3064,not clickbait
5628,not clickbait
4765,not clickbait
6451,not clickbait
10046,clickbait
7267,not clickbait
928,not clickbait
10449,not clickbait
6331,clickbait
11199,not clickbait
14000,not clickbait
6185,clickbait
9593,not clickbait
8310,not clickbait
576,not clickbait
8211,not clickbait
9364,clickbait
8951,not clickbait
2037,not clickbait
12016,not clickbait
9246,not clickbait
9698,clickbait
1016,not clickbait
9242,not clickbait
2715,not clickbait
4648,clickbait
3238,not clickbait
8115,not clickbait
3725,not clickbait
10053,not clickbait
15207,clickbait
11757,clickbait
1979,clickbait
4873,not clickbait
7548,not clickbait
2035,clickbait
991,clickbait
1620,clickbait
8802,not clickbait
10911,not clickbait
9395,not clickbait
8287,clickbait
7905,not clickbait
13897,clickbait
3431,not clickbait
6163,clickbait
7388,clickbait
3075,clickbait
2899,not clickbait
2991,not clickbait
1030,not clickbait
1906,not clickbait
8478,clickbait
6860,clickbait
9719,clickbait
13468,clickbait
4123,not clickbait
12036,clickbait
8258,clickbait
6151,clickbait
13262,clickbait
13016,not clickbait
15346,not clickbait
8091,clickbait
5305,clickbait
9239,not clickbait
13963,not clickbait
9923,not clickbait
14372,clickbait
11566,not clickbait
14834,not clickbait
11120,clickbait
9748,clickbait
12288,clickbait
10336,clickbait
499,not clickbait
15461,not clickbait
5053,not clickbait
5720,not clickbait
7530,not clickbait
3145,clickbait
2630,not clickbait
7483,not clickbait
2686,not clickbait
5019,clickbait
10015,not clickbait
5323,clickbait
2852,clickbait
7383,not clickbait
10378,not clickbait
12713,not clickbait
15882,not clickbait
1307,clickbait
901,not clickbait
781,clickbait
15452,not clickbait
8256,clickbait
9856,not clickbait
1293,not clickbait
8091,not clickbait
15674,not clickbait
8827,clickbait
10821,not clickbait
2373,clickbait
4250,not clickbait
5945,not clickbait
4034,clickbait
1386,clickbait
1720,not clickbait
1505,not clickbait
5737,clickbait
10859,not clickbait
2719,not clickbait
14051,not clickbait
8538,clickbait
1194,clickbait
13499,clickbait
6249,not clickbait
6115,clickbait
10961,clickbait
1836,not clickbait
2948,not clickbait
3908,clickbait
2924,clickbait
808,clickbait
3828,not clickbait
14862,clickbait
11405,not clickbait
6095,not clickbait
1934,not clickbait
3042,clickbait
3307,clickbait
9953,not clickbait
10890,not clickbait
15806,not clickbait
564,clickbait
4895,clickbait
9147,clickbait
9397,not clickbait
14152,not clickbait
5311,clickbait
1416,not clickbait
4370,not clickbait
15401,not clickbait
2197,not clickbait
9712,not clickbait
5890,clickbait
12874,not clickbait
7399,clickbait
8183,clickbait
693,clickbait
1852,not clickbait
3078,clickbait
1439,not clickbait
1554,clickbait
4721,clickbait
3043,clickbait
14126,clickbait
6393,not clickbait
6678,not clickbait
10118,clickbait
12077,clickbait
10189,clickbait
5648,clickbait
6411,clickbait
8276,not clickbait
7682,not clickbait
14086,clickbait
10045,clickbait
5068,clickbait
12859,not clickbait
14620,not clickbait
9383,not clickbait
8146,clickbait
1284,clickbait
9283,clickbait
13284,not clickbait
1689,clickbait
1062,not clickbait
17,clickbait
11638,clickbait
2614,clickbait
7992,clickbait
15800,not clickbait
12088,clickbait
7657,not clickbait
4753,clickbait
2181,not clickbait
9659,not clickbait
4583,clickbait
6281,not clickbait
10069,not clickbait
6526,clickbait
15193,clickbait
2896,clickbait
8924,not clickbait
2321,clickbait
11772,not clickbait
11415,not clickbait
13712,not clickbait
617,not clickbait
13682,clickbait
7890,clickbait
4005,not clickbait
561,clickbait
11395,not clickbait
10716,clickbait
807,clickbait
11831,clickbait
11097,not clickbait
12405,not clickbait
5137,not clickbait
4573,clickbait
11653,clickbait
6774,not clickbait
6719,clickbait
6904,clickbait
12324,not clickbait
11474,not clickbait
14910,not clickbait
4908,clickbait
15069,not clickbait
9020,clickbait
3073,clickbait
9729,clickbait
9835,clickbait
4166,not clickbait
1715,not clickbait
12131,clickbait
6450,not clickbait
2265,clickbait
11589,not clickbait
13560,not clickbait
5956,clickbait
10392,clickbait
12465,not clickbait
11601,not clickbait
14001,clickbait
15493,not clickbait
8860,not clickbait
6456,not clickbait
5587,clickbait
9566,not clickbait
2714,not clickbait
1310,clickbait
6399,not clickbait
6901,clickbait
3001,clickbait
11205,clickbait
873,not clickbait
7747,not clickbait
1550,clickbait
185,clickbait
13224,not clickbait
10252,not clickbait
1421,not clickbait
10734,not clickbait
14537,not clickbait
12577,not clickbait
8133,clickbait
13276,not clickbait
2890,clickbait
3012,clickbait
9253,not clickbait
6805,not clickbait
2637,clickbait
6290,clickbait
6238,clickbait
2354,clickbait
4589,clickbait
4313,not clickbait
1952,clickbait
6289,not clickbait
3985,clickbait
4934,clickbait
14145,clickbait
3934,clickbait
9243,clickbait
6498,not clickbait
2629,clickbait
5680,clickbait
1787,clickbait
14836,clickbait
13185,clickbait
2493,clickbait
12167,not clickbait
520,not clickbait
3461,clickbait
14636,not clickbait
8995,not clickbait
1709,not clickbait
11877,not clickbait
1485,clickbait
13957,clickbait
1278,clickbait
13076,not clickbait
13257,clickbait
15596,not clickbait
12183,not clickbait
1694,not clickbait
6351,clickbait
4205,not clickbait
4700,clickbait
2900,clickbait
1960,not clickbait
5306,clickbait
13701,not clickbait
7417,not clickbait
11405,clickbait
3630,clickbait
11672,clickbait
13259,not clickbait
9921,clickbait
11224,not clickbait
8149,clickbait
130,not clickbait
8226,not clickbait
3574,not clickbait
9028,clickbait
7325,clickbait
7038,clickbait
4966,not clickbait
7390,clickbait
14202,clickbait
6752,not clickbait
595,not clickbait
5856,not clickbait
8164,clickbait
7995,not clickbait
41,clickbait
14291,clickbait
9173,clickbait
15557,not clickbait
6809,clickbait
2661,clickbait
13022,clickbait
13446,clickbait
3078,not clickbait
14865,not clickbait
5691,clickbait
7398,clickbait
6448,clickbait
6377,clickbait
13791,not clickbait
12950,clickbait
12301,not clickbait
11561,not clickbait
7538,clickbait
9565,not clickbait
9121,not clickbait
3561,clickbait
2871,clickbait
1820,not clickbait
15012,clickbait
3195,not clickbait
11573,clickbait
13650,clickbait
9633,clickbait
6236,clickbait
10686,clickbait
5553,clickbait
1047,clickbait
11450,not clickbait
6586,clickbait
8503,not clickbait
6964,not clickbait
10115,not clickbait
5411,clickbait
13729,clickbait
12733,not clickbait
9607,not clickbait
14965,clickbait
1005,clickbait
888,clickbait
10064,clickbait
5675,clickbait
3298,not clickbait
929,clickbait
12119,not clickbait
1591,not clickbait
10380,not clickbait
4031,not clickbait
8982,clickbait
5170,not clickbait
12771,clickbait
9395,clickbait
8760,clickbait
10715,clickbait
6873,clickbait
12594,clickbait
12028,clickbait
3805,clickbait
10304,not clickbait
4472,clickbait
8223,not clickbait
13804,not clickbait
5545,not clickbait
5309,clickbait
2717,not clickbait
12157,clickbait
1618,not clickbait
6945,clickbait
7930,clickbait
4311,not clickbait
645,not clickbait
14491,not clickbait
14155,not clickbait
11316,clickbait
12819,not clickbait
15535,not clickbait
8129,clickbait
13694,not clickbait
9409,clickbait
14970,clickbait
12862,not clickbait
14554,clickbait
6177,clickbait
2268,not clickbait
7224,not clickbait
13302,clickbait
4309,clickbait
8537,not clickbait
5619,clickbait
11289,not clickbait
15055,not clickbait
8406,clickbait
4266,clickbait
8724,not clickbait
5257,not clickbait
2046,not clickbait
7558,clickbait
10229,clickbait
11236,clickbait
10747,clickbait
14161,clickbait
9947,clickbait
9779,not clickbait
3249,not clickbait
6125,clickbait
12716,clickbait
3139,not clickbait
8310,clickbait
1416,clickbait
6342,not clickbait
5758,not clickbait
13753,clickbait
14515,clickbait
9937,not clickbait
10091,clickbait
5701,not clickbait
5920,clickbait
8679,clickbait
13211,clickbait
12494,clickbait
8845,not clickbait
5597,clickbait
7137,not clickbait
2260,not clickbait
3938,clickbait
5844,clickbait
7762,not clickbait
907,clickbait
14103,clickbait
5592,not clickbait
1109,clickbait
12603,not clickbait
4217,clickbait
9689,clickbait
10719,not clickbait
13846,clickbait
2434,clickbait
12121,clickbait
11891,clickbait
7384,not clickbait
3218,clickbait
15990,not clickbait
4403,not clickbait
561,not clickbait
7411,not clickbait
3245,not clickbait
200,clickbait
2524,not clickbait
15948,not clickbait
14171,clickbait
1265,not clickbait
272,clickbait
12458,clickbait
14765,clickbait
7875,not clickbait
12967,not clickbait
10630,not clickbait
2890,not clickbait
15124,clickbait
12590,clickbait
10569,not clickbait
7584,clickbait
9696,not clickbait
8859,clickbait
3928,clickbait
15092,clickbait
7015,not clickbait
2511,not clickbait
6500,clickbait
5130,clickbait
8792,clickbait
10001,not clickbait
4303,clickbait
13441,clickbait
12678,not clickbait
13739,not clickbait
15895,not clickbait
1997,clickbait
12399,not clickbait
7495,clickbait
11707,clickbait
6559,not clickbait
8654,clickbait
12304,not clickbait
4961,clickbait
12531,not clickbait
8250,clickbait
14049,not clickbait
5655,clickbait
9153,not clickbait
1584,not clickbait
12663,clickbait
14781,not clickbait
3581,clickbait
13919,not clickbait
2557,clickbait
4021,not clickbait
1001,clickbait
14869,not clickbait
7705,not clickbait
4910,not clickbait
1614,clickbait
7466,not clickbait
14354,clickbait
8320,clickbait
13206,not clickbait
3447,clickbait
7328,not clickbait
3592,not clickbait
7389,not clickbait
14348,clickbait
10155,not clickbait
5631,not clickbait
6977,clickbait
9792,not clickbait
52,clickbait
8379,not clickbait
8135,clickbait
1246,clickbait
6689,clickbait
12723,clickbait
2604,clickbait
6693,clickbait
8474,not clickbait
2239,not clickbait
9375,clickbait
8220,clickbait
2940,not clickbait
13442,clickbait
11882,not clickbait
3873,not clickbait
12766,not clickbait
6952,clickbait
14820,clickbait
1978,not clickbait
11801,not clickbait
12091,not clickbait
5363,not clickbait
3030,clickbait
13270,clickbait
10813,clickbait
13762,clickbait
389,not clickbait
8508,not clickbait
2531,not clickbait
8757,not clickbait
14527,clickbait
11472,clickbait
7199,clickbait
13412,clickbait
12155,not clickbait
1307,not clickbait
11960,clickbait
6629,not clickbait
14456,not clickbait
7845,not clickbait
11837,not clickbait
4273,not clickbait
7393,not clickbait
14349,not clickbait
5316,clickbait
498,clickbait
7441,clickbait
1541,not clickbait
14204,not clickbait
3912,not clickbait
7148,not clickbait
6112,not clickbait
7470,not clickbait
11757,not clickbait
9319,not clickbait
4575,not clickbait
14180,clickbait
12386,not clickbait
13526,not clickbait
1027,clickbait
11916,not clickbait
12173,clickbait
11338,not clickbait
11879,clickbait
13180,clickbait
12382,clickbait
5822,not clickbait
6026,clickbait
2077,clickbait
725,not clickbait
1986,not clickbait
15538,not clickbait
3844,clickbait
4618,not clickbait
5975,not clickbait
10877,clickbait
770,clickbait
14705,clickbait
6761,clickbait
769,clickbait
9063,not clickbait
773,clickbait
4145,clickbait
654,not clickbait
6099,not clickbait
5833,not clickbait
3339,not clickbait
3262,not clickbait
7300,not clickbait
9040,not clickbait
12510,clickbait
4576,not clickbait
5717,not clickbait
4366,not clickbait
6946,clickbait
832,clickbait
5312,clickbait
2968,clickbait
9756,clickbait
1890,not clickbait
10030,not clickbait
11674,clickbait
8171,not clickbait
12728,clickbait
965,clickbait
14634,not clickbait
5626,clickbait
6136,clickbait
10658,clickbait
12907,not clickbait
13090,clickbait
13154,not clickbait
9822,not clickbait
1110,not clickbait
8933,clickbait
11246,not clickbait
11221,not clickbait
14500,not clickbait
7302,clickbait
2978,clickbait
13280,not clickbait
1888,clickbait
659,not clickbait
14771,not clickbait
13617,not clickbait
10736,not clickbait
12341,clickbait
3356,not clickbait
15163,not clickbait
8857,clickbait
637,clickbait
9479,not clickbait
5241,clickbait
11635,not clickbait
6855,clickbait
10479,clickbait
717,not clickbait
8312,not clickbait
11698,clickbait
10936,not clickbait
14490,clickbait
11908,clickbait
3266,not clickbait
11579,not clickbait
7077,not clickbait
2384,not clickbait
582,not clickbait
15981,not clickbait
3291,not clickbait
12523,clickbait
13189,not clickbait
4429,clickbait
8118,not clickbait
12539,clickbait
6809,not clickbait
4249,clickbait
12787,clickbait
14262,not clickbait
10842,clickbait
12813,not clickbait
15186,not clickbait
6904,not clickbait
9936,not clickbait
917,clickbait
111,clickbait
60,not clickbait
13797,clickbait
1218,clickbait
15149,not clickbait
12475,clickbait
15900,not clickbait
1975,not clickbait
8271,not clickbait
5106,clickbait
3037,not clickbait
13984,not clickbait
13793,not clickbait
9353,clickbait
5282,not clickbait
540,clickbait
15742,not clickbait
5146,clickbait
9252,not clickbait
8811,clickbait
10923,not clickbait
13522,not clickbait
9830,clickbait
299,clickbait
7738,clickbait
4293,not clickbait
15638,not clickbait
12030,clickbait
9960,clickbait
9362,not clickbait
2901,clickbait
15902,not clickbait
5245,not clickbait
12325,clickbait
15214,clickbait
7914,not clickbait
15335,not clickbait
7934,not clickbait
14400,not clickbait
324,not clickbait
6019,clickbait
5196,clickbait
9023,not clickbait
2967,not clickbait
612,clickbait
970,not clickbait
14400,clickbait
8514,clickbait
12336,not clickbait
2778,clickbait
3168,not clickbait
971,clickbait
9791,clickbait
804,not clickbait
13437,not clickbait
4436,not clickbait
1811,clickbait
12245,not clickbait
13639,not clickbait
11714,not clickbait
14259,not clickbait
394,not clickbait
10463,clickbait
12711,clickbait
7187,not clickbait
6795,not clickbait
4808,clickbait
9743,clickbait
3048,clickbait
12917,clickbait
12930,clickbait
9145,not clickbait
11466,clickbait
6500,not clickbait
979,not clickbait
7336,not clickbait
12093,clickbait
4097,clickbait
6468,not clickbait
2417,clickbait
7076,not clickbait
14131,clickbait
1726,clickbait
8425,clickbait
14767,not clickbait
5454,not clickbait
1497,clickbait
13726,not clickbait
3694,not clickbait
9019,clickbait
7779,clickbait
4078,clickbait
4308,not clickbait
14340,clickbait
7815,clickbait
3128,clickbait
8875,clickbait
13789,not clickbait
13051,not clickbait
10599,clickbait
14062,clickbait
771,clickbait
10819,clickbait
7457,clickbait
10208,clickbait
9437,not clickbait
1757,not clickbait
1550,not clickbait
4204,clickbait
8071,not clickbait
7634,not clickbait
11311,not clickbait
2356,clickbait
7174,not clickbait
9064,clickbait
8821,clickbait
12442,not clickbait
6213,clickbait
15059,not clickbait
14343,clickbait
11571,not clickbait
10324,clickbait
2814,not clickbait
3219,clickbait
6552,not clickbait
7184,clickbait
13278,clickbait
8988,clickbait
5379,clickbait
12980,not clickbait
4285,not clickbait
2761,clickbait
5463,not clickbait
6649,clickbait
414,clickbait
3176,not clickbait
9484,clickbait
12086,not clickbait
4676,clickbait
4152,clickbait
14814,not clickbait
554,not clickbait
29,clickbait
7166,clickbait
3522,not clickbait
2019,not clickbait
10498,not clickbait
12222,clickbait
11308,not clickbait
11995,not clickbait
5067,clickbait
5121,not clickbait
11059,clickbait
8315,clickbait
2520,clickbait
9461,not clickbait
9531,clickbait
10427,not clickbait
3759,clickbait
7789,clickbait
4217,not clickbait
12589,clickbait
13183,not clickbait
11163,clickbait
906,clickbait
14734,not clickbait
1681,not clickbait
1034,not clickbait
7253,not clickbait
14327,not clickbait
6341,clickbait
144,not clickbait
9856,clickbait
370,clickbait
4405,clickbait
4229,clickbait
15950,not clickbait
12236,not clickbait
11425,clickbait
9785,not clickbait
10613,clickbait
4964,clickbait
13204,not clickbait
9770,clickbait
14618,clickbait
1829,clickbait
9124,clickbait
5208,clickbait
4030,not clickbait
7341,not clickbait
4101,not clickbait
13907,not clickbait
11571,clickbait
6159,clickbait
11040,clickbait
784,not clickbait
11535,clickbait
1078,clickbait
2921,clickbait
7588,clickbait
2311,not clickbait
9311,not clickbait
8143,clickbait
8481,clickbait
5931,clickbait
4522,not clickbait
6374,clickbait
10211,not clickbait
14806,not clickbait
13961,not clickbait
8975,clickbait
5214,clickbait
1322,not clickbait
13504,not clickbait
9811,not clickbait
15149,clickbait
12973,clickbait
13776,clickbait
3521,clickbait
8567,clickbait
4699,not clickbait
2812,clickbait
357,not clickbait
2841,not clickbait
6680,not clickbait
6283,not clickbait
9224,not clickbait
6140,not clickbait
8240,not clickbait
13863,not clickbait
12437,clickbait
3191,not clickbait
5901,not clickbait
9898,not clickbait
5301,not clickbait
9984,clickbait
3926,not clickbait
4691,not clickbait
5996,clickbait
1350,not clickbait
14253,not clickbait
2239,clickbait
2853,clickbait
14793,clickbait
13456,clickbait
10704,not clickbait
3407,not clickbait
14956,not clickbait
13348,not clickbait
12863,not clickbait
9875,clickbait
1644,not clickbait
1397,clickbait
9558,not clickbait
14010,clickbait
9871,clickbait
12115,not clickbait
10046,not clickbait
3291,clickbait
6046,not clickbait
10334,not clickbait
12329,not clickbait
11360,clickbait
15103,not clickbait
11329,not clickbait
14301,clickbait
3616,not clickbait
15809,not clickbait
11396,not clickbait
6723,clickbait
14681,not clickbait
5655,not clickbait
13880,clickbait
13861,not clickbait
15922,not clickbait
1383,clickbait
9675,clickbait
12861,clickbait
15516,not clickbait
14101,clickbait
525,clickbait
14772,not clickbait
7858,not clickbait
9436,not clickbait
13982,not clickbait
5409,clickbait
7543,not clickbait
1508,not clickbait
10079,clickbait
8467,clickbait
7226,not clickbait
1339,clickbait
1817,not clickbait
7481,clickbait
713,clickbait
13898,clickbait
4607,not clickbait
680,clickbait
8852,clickbait
3132,not clickbait
10895,clickbait
4511,clickbait
4995,not clickbait
5976,not clickbait
7926,clickbait
332,clickbait
2863,clickbait
1027,not clickbait
14572,clickbait
6599,clickbait
2835,clickbait
14813,clickbait
6009,clickbait
15740,not clickbait
14305,not clickbait
8652,clickbait
5446,clickbait
8631,clickbait
15489,not clickbait
6138,not clickbait
14341,not clickbait
3436,not clickbait
583,not clickbait
4126,clickbait
4144,not clickbait
9433,clickbait
14545,not clickbait
15145,clickbait
1202,clickbait
14333,not clickbait
14371,clickbait
1006,not clickbait
3731,not clickbait
3639,clickbait
15324,not clickbait
7086,not clickbait
15180,not clickbait
10111,not clickbait
2785,not clickbait
3935,not clickbait
9157,not clickbait
14511,clickbait
13899,clickbait
9771,not clickbait
13723,not clickbait
11192,clickbait
4174,clickbait
9046,clickbait
13573,not clickbait
10679,not clickbait
8178,not clickbait
679,not clickbait
1296,clickbait
4393,clickbait
11316,not clickbait
15929,not clickbait
9318,not clickbait
6553,clickbait
12940,clickbait
14583,not clickbait
13231,not clickbait
4178,clickbait
5536,not clickbait
1672,clickbait
13255,clickbait
9014,clickbait
6121,not clickbait
8349,clickbait
5487,clickbait
7181,clickbait
10909,not clickbait
868,not clickbait
10927,not clickbait
9672,clickbait
9915,clickbait
484,not clickbait
11875,not clickbait
14322,not clickbait
12435,clickbait
13438,clickbait
3860,not clickbait
9494,not clickbait
11411,not clickbait
4413,clickbait
7439,clickbait
550,clickbait
12482,clickbait
12627,clickbait
2062,not clickbait
11737,clickbait
3063,not clickbait
2704,not clickbait
3721,not clickbait
12587,clickbait
8788,not clickbait
12234,not clickbait
3358,clickbait
2668,not clickbait
6875,not clickbait
8173,not clickbait
13915,not clickbait
15294,not clickbait
9316,clickbait
8137,not clickbait
4499,not clickbait
3917,clickbait
9298,not clickbait
6443,not clickbait
14161,not clickbait
7536,clickbait
5895,clickbait
15501,not clickbait
2797,not clickbait
3984,not clickbait
6856,not clickbait
4903,not clickbait
12370,clickbait
11199,clickbait
9477,clickbait
3016,clickbait
15447,not clickbait
11624,clickbait
3094,clickbait
6679,clickbait
6915,not clickbait
3466,clickbait
5978,clickbait
13883,not clickbait
13351,clickbait
3418,clickbait
11595,not clickbait
15018,not clickbait
14428,not clickbait
355,clickbait
1522,clickbait
8491,clickbait
4185,not clickbait
646,not clickbait
3399,clickbait
10514,clickbait
10291,clickbait
8761,clickbait
10944,not clickbait
11709,clickbait
9391,clickbait
2724,clickbait
220,not clickbait
9465,clickbait
10566,clickbait
5636,not clickbait
2463,not clickbait
1619,clickbait
12271,clickbait
9211,not clickbait
7448,not clickbait
14362,not clickbait
11262,clickbait
5260,clickbait
3387,clickbait
9842,clickbait
2860,not clickbait
7707,clickbait
6670,clickbait
4174,not clickbait
1801,clickbait
11347,clickbait
15110,clickbait
12933,clickbait
277,not clickbait
7326,not clickbait
7099,clickbait
10910,clickbait
11904,clickbait
8414,clickbait
3864,not clickbait
11072,not clickbait
6143,clickbait
709,not clickbait
11359,clickbait
3204,clickbait
9833,not clickbait
8064,clickbait
6715,not clickbait
13399,not clickbait
7335,clickbait
10304,clickbait
14354,not clickbait
8208,not clickbait
8350,clickbait
3905,not clickbait
4653,clickbait
7363,clickbait
9635,not clickbait
6067,not clickbait
5232,clickbait
3506,clickbait
12915,clickbait
5279,not clickbait
11480,clickbait
9394,not clickbait
290,not clickbait
10086,clickbait
8361,clickbait
5701,clickbait
11120,not clickbait
9470,clickbait
9737,clickbait
6542,not clickbait
5756,not clickbait
15958,not clickbait
1691,not clickbait
8136,not clickbait
8848,not clickbait
8056,not clickbait
8692,clickbait
11580,not clickbait
13130,clickbait
14189,clickbait
4872,not clickbait
3904,clickbait
1304,not clickbait
12400,not clickbait
13220,clickbait
11022,clickbait
5310,not clickbait
8529,not clickbait
4485,not clickbait
5780,clickbait
10472,not clickbait
5959,not clickbait
5986,not clickbait
879,clickbait
11877,clickbait
4044,clickbait
6952,not clickbait
14898,clickbait
2605,not clickbait
3707,not clickbait
1909,clickbait
11696,not clickbait
8451,not clickbait
7567,not clickbait
10279,clickbait
3335,clickbait
2224,clickbait
12994,clickbait
9646,not clickbait
1352,clickbait
460,not clickbait
15510,not clickbait
7353,not clickbait
1151,clickbait
14336,not clickbait
3657,clickbait
8935,not clickbait
7485,not clickbait
15756,not clickbait
8875,not clickbait
5277,clickbait
1884,clickbait
1278,not clickbait
9777,clickbait
11951,clickbait
5806,clickbait
7552,not clickbait
3322,clickbait
2824,not clickbait
5029,clickbait
10157,clickbait
12948,not clickbait
11652,clickbait
15704,not clickbait
4098,clickbait
7639,clickbait
10834,not clickbait
6484,clickbait
8077,clickbait
7133,clickbait
15083,clickbait
8785,not clickbait
563,not clickbait
15556,not clickbait
1607,not clickbait
5517,not clickbait
450,clickbait
6239,clickbait
919,clickbait
11259,not clickbait
8681,clickbait
14685,clickbait
2886,clickbait
10003,not clickbait
11200,not clickbait
3982,not clickbait
1440,clickbait
6270,not clickbait
8903,clickbait
821,clickbait
10386,not clickbait
6243,clickbait
5270,not clickbait
5313,not clickbait
15602,not clickbait
7349,clickbait
14330,not clickbait
13634,clickbait
7024,clickbait
8399,clickbait
9097,clickbait
9962,clickbait
5138,clickbait
1748,clickbait
8665,clickbait
1807,not clickbait
12214,clickbait
10343,clickbait
12149,not clickbait
10335,clickbait
1259,not clickbait
10786,clickbait
5816,clickbait
12369,not clickbait
7043,clickbait
3533,clickbait
13586,clickbait
12544,not clickbait
14700,not clickbait
2537,not clickbait
11302,not clickbait
11965,clickbait
15648,not clickbait
4687,not clickbait
10539,not clickbait
15024,clickbait
10973,not clickbait
4167,not clickbait
14455,clickbait
5153,not clickbait
3013,not clickbait
47,not clickbait
2936,clickbait
7221,clickbait
9781,not clickbait
8666,clickbait
100,not clickbait
5421,clickbait
2692,not clickbait
6744,clickbait
13330,clickbait
5059,not clickbait
1343,clickbait
10322,not clickbait
7880,not clickbait
245,not clickbait
4941,clickbait
7753,clickbait
9912,clickbait
11913,clickbait
7428,not clickbait
649,not clickbait
14917,clickbait
15861,not clickbait
6084,clickbait
11855,not clickbait
4919,clickbait
15622,not clickbait
2143,clickbait
11513,clickbait
6457,not clickbait
1757,clickbait
10272,not clickbait
9852,clickbait
8070,not clickbait
348,not clickbait
14237,not clickbait
12933,not clickbait
1962,not clickbait
3534,clickbait
6345,clickbait
13141,clickbait
14679,clickbait
836,not clickbait
15785,not clickbait
11523,not clickbait
11315,not clickbait
12592,clickbait
7386,not clickbait
271,not clickbait
11836,clickbait
1288,clickbait
15939,not clickbait
4960,not clickbait
13088,clickbait
13841,not clickbait
9195,clickbait
5543,clickbait
7406,clickbait
7140,not clickbait
10465,not clickbait
8803,not clickbait
9378,not clickbait
14896,clickbait
10714,not clickbait
14723,clickbait
8222,not clickbait
2031,not clickbait
8213,not clickbait
15001,not clickbait
11078,clickbait
11981,not clickbait
6737,not clickbait
7582,not clickbait
755,clickbait
838,not clickbait
12204,not clickbait
8259,not clickbait
11130,clickbait
5497,not clickbait
12938,clickbait
8355,clickbait
12817,not clickbait
7279,clickbait
9009,clickbait
8370,clickbait
12419,not clickbait
14262,clickbait
14608,not clickbait
7577,clickbait
9369,clickbait
5277,not clickbait
5398,not clickbait
6521,clickbait
7693,not clickbait
9906,not clickbait
3737,not clickbait
11795,clickbait
9176,not clickbait
716,not clickbait
7757,clickbait
7011,clickbait
13769,clickbait
13490,not clickbait
3160,clickbait
8874,clickbait
11041,clickbait
14438,not clickbait
5325,not clickbait
14467,clickbait
13140,clickbait
308,clickbait
10206,clickbait
12982,clickbait
4956,not clickbait
10868,not clickbait
544,clickbait
11697,clickbait
11047,clickbait
9140,clickbait
4481,not clickbait
4666,not clickbait
14383,not clickbait
9171,not clickbait
5684,not clickbait
3920,clickbait
14968,clickbait
11017,clickbait
12308,clickbait
15730,not clickbait
7830,clickbait
10013,not clickbait
7214,not clickbait
7646,not clickbait
13732,not clickbait
1257,not clickbait
15578,not clickbait
5171,not clickbait
3902,clickbait
2850,not clickbait
10981,clickbait
9805,not clickbait
5221,not clickbait
9208,clickbait
14494,clickbait
3117,clickbait
2448,not clickbait
6567,clickbait
15783,not clickbait
2910,clickbait
10125,not clickbait
1382,not clickbait
11296,clickbait
2418,clickbait
10880,clickbait
7419,not clickbait
5262,not clickbait
10587,not clickbait
902,not clickbait
1085,clickbait
4996,not clickbait
11258,not clickbait
1779,not clickbait
1205,clickbait
3389,not clickbait
11221,clickbait
13812,clickbait
2309,clickbait
2786,not clickbait
5542,not clickbait
9579,not clickbait
2556,clickbait
5078,not clickbait
13296,not clickbait
4825,clickbait
7922,not clickbait
14746,clickbait
14540,clickbait
3787,clickbait
8218,clickbait
8979,not clickbait
10778,clickbait
5954,clickbait
5451,not clickbait
12565,clickbait
7672,clickbait
4555,clickbait
13346,clickbait
9522,not clickbait
2878,not clickbait
6267,clickbait
2411,not clickbait
12250,not clickbait
4394,not clickbait
5191,clickbait
866,not clickbait
10186,clickbait
11301,clickbait
5475,clickbait
13194,not clickbait
13077,clickbait
10489,not clickbait
13439,not clickbait
2573,clickbait
6111,clickbait
14210,clickbait
2989,clickbait
10540,not clickbait
13612,clickbait
10926,clickbait
7549,not clickbait
8122,clickbait
13830,clickbait
12447,clickbait
12707,not clickbait
4621,clickbait
8714,not clickbait
487,clickbait
6764,clickbait
15046,not clickbait
13469,not clickbait
655,clickbait
11382,clickbait
14557,not clickbait
10769,clickbait
6018,not clickbait
3763,not clickbait
8620,clickbait
15813,not clickbait
5926,clickbait
13184,not clickbait
13798,clickbait
6353,not clickbait
14053,not clickbait
2948,clickbait
7414,clickbait
9948,not clickbait
12077,not clickbait
5429,clickbait
5735,not clickbait
15137,clickbait
4930,not clickbait
13086,not clickbait
9063,clickbait
14108,not clickbait
14913,not clickbait
6244,clickbait
9352,not clickbait
2199,not clickbait
6615,not clickbait
12462,not clickbait
4540,clickbait
13027,clickbait
11401,clickbait
3479,not clickbait
4776,not clickbait
